order_id,sys_a_amount_attribute_1,date
70281914,298.998,2024-06-29
73708391,686.994,2024-06-30
53414597,298.998,2024-06-28
82284574,269.0,2024-06-29
85870976,511.998,2024-06-30
57525334,499.002,2024-06-30
27541502,899.002,2024-06-27
34998730,538.997,2024-06-28
83722059,248.997,2024-06-29
30934799,339.003,2024-06-26
81681614,424.001,2024-06-29
77239540,299.001,2024-06-28
47719932,899.002,2024-06-27
64380660,629.003,2024-06-29
69145702,908.996,2024-06-30
76301579,1049.003,2024-06-30
29123190,402.003,2024-06-27
91902976,999.002,2024-06-30
20028183,674.005,2024-06-28
41166050,1199.005,2024-06-29
85133412,534.005,2024-06-30
15729438,449.001,2024-06-29
66259803,1910.999,2024-06-26
72054933,935.004,2024-06-27
90665407,778.995,2024-06-29
79745703,823.996,2024-06-28
19728560,299.001,2024-06-28
10795200,718.998,2024-06-27
68716821,1329.004,2024-06-30
10079165,1299.003,2024-06-28
93424771,321.999,2024-06-28
99178580,1348.996,2024-06-28
94108699,638.999,2024-06-29
74277800,1038.996,2024-06-30
73734501,479.0,2024-06-28
78600490,1799.005,2024-06-27
19258540,1298.992,2024-06-30
38734089,419.003,2024-06-30
98490953,899.0,2024-06-29
20055678,424.001,2024-06-29
94972553,1398.992,2024-06-30
36636368,1499.002,2024-06-30
11282908,530.996,2024-06-28
90545664,749.0,2024-06-28
56921037,1613.999,2024-06-27
61143057,339.003,2024-06-30
29552077,949.004,2024-06-29
31756023,679.004,2024-06-30
67821173,899.002,2024-06-29
36776071,284.003,2024-06-27
41765698,1259.004,2024-06-30
45204982,1278.996,2024-06-28
30400859,899.002,2024-06-27
25338703,599.004,2024-06-28
44428345,778.995,2024-06-27
95601384,638.999,2024-06-30
55079713,978.999,2024-06-27
47050335,298.998,2024-06-28
82648289,899.002,2024-06-26
30143208,2249.005,2024-06-29
57227194,698.997,2024-06-30
14519139,1119.004,2024-06-29
92835208,718.998,2024-06-25
82759808,769.004,2024-06-28
78128572,479.0,2024-06-27
39803729,1199.006,2024-06-30
99273729,899.002,2024-06-28
14443135,1189.004,2024-06-30
49521860,399.0,2024-06-29
13655194,1348.996,2024-06-27
98155903,718.998,2024-06-28
88412398,679.004,2024-06-27
44597655,593.996,2024-06-28
31953439,1349.0,2024-06-28
10219162,607.005,2024-06-30
33397730,348.999,2024-06-30
80829038,899.0,2024-06-30
35277278,1087.005,2024-06-29
57702275,763.997,2024-06-29
35510999,298.996,2024-06-28
27049142,424.001,2024-06-27
57458859,568.995,2024-06-28
30454894,558.999,2024-06-27
40709064,809.004,2024-06-29
92254246,638.999,2024-06-29
97543112,348.999,2024-06-29
82347334,759.003,2024-06-30
88862173,848.999,2024-06-30
70308756,2249.01,2024-06-30
61752930,778.995,2024-06-27
80601106,849.006,2024-06-30
35414966,198.996,2024-06-29
86673445,348.999,2024-06-28
72330108,718.998,2024-06-27
71241819,999.0,2024-06-29
94500020,728.0,2024-06-27
36769531,593.996,2024-06-24
97637092,823.998,2024-06-28
53874837,479.0,2024-06-29
32611616,1146.005,2024-06-28
56972317,419.003,2024-06-30
29735425,629.003,2024-06-29
71944132,499.002,2024-06-26
89392519,1169.003,2024-06-27
